loan_id,borrower_id,segment,country,origination_date,maturity_date,currency,interest_rate,pd_1y,lgd,ead,collateral_value,ltv,is_default,default_date,days_past_due,provision_amount,internal_rating
21,251,Corporate,FR,2024-05-04,2032-05-02,EUR,0.03736501176819309,0.04499649936583888,0.2145862141983964,15362.129501634783,32512.50869669609,0.47249905090208794,0,,28,165.75038229585567,BBB
22,186,Retail,DE,2024-10-07,2029-10-06,EUR,0.03622229640629736,0.021037385871774394,0.2770687315268455,52833.99252015464,175223.53701391292,0.30152337648542943,0,,15,263.191898679059,BBB
23,92,Retail,FR,2022-04-18,2029-04-16,EUR,0.034718672958546665,0.0054441133175958,0.3682406321482514,37538.95240715661,0.0,,0,,16,61.526589217219026,AA
24,464,SME,DE,2023-07-28,2027-07-27,EUR,0.043620819578864295,0.059531131983887785,0.47036244817091494,88969.3582347356,0.0,,0,,24,2962.5839101946126,BB/B
25,391,Retail,FR,2022-09-25,2030-09-23,EUR,0.041756548379939584,0.026281556273676933,0.265404278748861,36124.61487550859,99195.37352060701,0.36417640857014366,0,,1,275.3874247414075,BBB
26,322,Retail,ES,2024-04-21,2026-04-21,EUR,0.04549591996892656,0.018951448160691216,0.47878609013668394,18076.959457130837,24768.939890246515,0.7298237040919608,0,,29,157.02296432885845,A
27,202,Corporate,DE,2023-12-15,2026-12-14,EUR,0.02866313464451259,0.0382602114358732,0.3316600606058976,40813.51380185197,55064.842396906555,0.7411900593062408,0,,14,417.97893671158795,BBB
28,412,Corporate,ES,2022-10-20,2023-10-20,USD,0.030354759181109615,0.022583561268795477,0.3269805624711809,3039.313178534544,0.0,,0,,11,19.44860233097051,BBB
29,273,SME,FR,2021-07-22,2028-07-20,EUR,0.051797486470596996,0.032816242088256925,0.6739721037031896,180534.99006260326,361428.67798620707,0.49950377780894545,0,,18,3209.916284370089,BBB
30,222,Retail,NL,2022-12-07,2025-12-06,EUR,0.042348636698675245,0.03141048787226372,0.6961722719192336,28980.548535817146,83071.20224479816,0.34886395950326915,0,,27,607.4739868607427,BBB
31,226,SME,ES,2022-04-19,2025-04-18,EUR,0.05489771292747003,0.08578350030732611,0.6057192983004637,195723.04321966483,337319.4586427526,0.5802305150351574,1,2022-10-22,111,10393.06010246713,BB/B
32,114,SME,FR,2022-05-25,2030-05-23,EUR,0.04332500429714181,0.07247633091195962,0.22719599036670085,9234.067752437522,0.0,,0,,28,131.40772749657694,BB/B
33,47,Retail,IT,2023-08-30,2027-08-29,EUR,0.04057590441576395,0.005318827485943274,0.5643158552718641,7203.732816447804,16942.613702169416,0.4251842686778252,0,,23,22.831592147881366,AA
34,278,SME,DE,2023-08-10,2025-08-09,EUR,0.046348657638492885,0.03522518373716176,0.28921286589915884,31755.8834499559,0.0,,0,,14,382.29711889812404,BBB
35,444,Retail,DE,2022-11-17,2023-11-17,GBP,0.035810883706111754,0.04418855166302954,0.4846106568604452,31651.30765291354,102964.83318744042,0.3073992029423726,0,,4,810.7575258612484,BBB
36,32,Retail,NL,2024-11-04,2027-11-04,EUR,0.04351512729522705,0.07439057440365515,0.6468568146045441,30891.760425677705,0.0,,0,,5,1684.61555624301,BB/B
37,430,SME,NL,2021-07-31,2030-07-29,EUR,0.04887139398173439,0.1678847975707823,0.3900978158720734,26524.555438579544,62279.739410386865,0.42589380896086154,0,,25,1698.1402929688147,BB/B
38,414,Retail,DE,2021-12-07,2026-12-06,EUR,0.03974706299283285,0.032599969040925235,0.6644208425336164,11753.223696281517,0.0,,0,,3,259.4037033150683,BBB
39,139,Retail,FR,2023-06-23,2032-06-20,EUR,0.046539578118899194,0.02105601147370901,0.5541861086696562,4987.2713020512965,8020.849565249154,0.6217884105019211,0,,14,58.27319618771301,BBB
40,316,Corporate,DE,2023-02-19,2025-02-18,EUR,0.03144566150097215,0.11967528194159885,0.35050590667883363,29235.83777135969,37634.08750250662,0.7768446031649482,1,2024-02-18,212,1057.4429669736116,BB/B
41,83,Corporate,FR,2023-05-13,2027-05-12,EUR,0.03919561486068633,0.02713902069043216,0.24745859943971998,6108.325768868887,0.0,,0,,12,46.837735917168715,BBB
42,380,SME,FR,2021-10-01,2023-10-01,USD,0.0559094083348502,0.10980245780955006,0.6076756423841785,5558.000511107163,0.0,,0,,21,396.9306563799284,BB/B
43,351,Corporate,FR,2021-03-17,2025-03-16,EUR,0.025907289479515497,0.006823012039329697,0.42902970424649767,15053.536132246767,18188.705989885122,0.8276309562988238,0,,10,46.49713691353515,AA
44,178,Corporate,IT,2024-06-17,2030-06-16,EUR,0.037781508591442595,0.04983591501685887,0.23634674407998374,33882.67108802219,52432.261509098156,0.6462179984768117,0,,21,354.4438515355251,BBB
45,34,Retail,DE,2022-12-09,2030-12-07,EUR,0.03966903683655619,0.03607435409539231,0.251561178567526,160774.69231765738,287389.96904947684,0.5594304242747544,0,,15,1256.5970181036764,BBB
46,486,Retail,NL,2024-12-07,2028-12-06,GBP,0.03796134614197784,0.013769349556942924,0.68348069094774,58645.09994865246,79894.9358254406,0.7340277496033529,0,,26,634.2654071300886,A
47,223,Retail,ES,2022-09-29,2029-09-27,EUR,0.04012981056716752,0.025878088026064616,0.3215009772477831,92338.60485176803,0.0,,0,,5,669.7265393425386,BBB
48,447,Retail,ES,2023-10-06,2029-10-04,EUR,0.02998593130737085,0.005116581813927797,0.6832955889286897,42347.37385048051,60806.716312134566,0.6964259282330245,0,,22,122.80747713653761,AA
49,339,SME,DE,2023-04-30,2026-04-29,USD,0.050560578372361595,0.013914035655792618,0.5405797898489519,31788.304526800508,0.0,,0,,21,251.11328951330424,A
50,390,Retail,ES,2022-09-21,2031-09-19,EUR,0.04491619984722702,0.03915192177124755,0.3502455509143346,269895.5509645834,383613.17336701823,0.7035617379759882,0,,24,4003.531439836632,BBB
51,380,Retail,NL,2023-05-22,2027-05-21,USD,0.03685527322533613,0.03420526162132746,0.3918639371217394,5867.267994145869,18446.805335885656,0.3180641789899483,0,,14,66.67801056745854,BBB
52,98,Retail,DE,2023-01-13,2025-01-12,EUR,0.03585562418599864,0.009940976117022202,0.5885192220540005,14570.725377004563,39773.9423703005,0.36633847460604335,0,,9,75.24982821349549,AA
53,182,Retail,ES,2021-03-08,2030-03-06,EUR,0.04654762818257201,0.0313158987918259,0.41770748946269787,15753.537629316417,0.0,,0,,15,229.87246906263675,BBB
54,234,Corporate,FR,2020-12-15,2029-12-13,EUR,0.029389237290387643,0.004972420058418418,0.23737538883214315,53828.42871464578,0.0,,0,,29,74.45284980696955,AAA
55,249,Retail,ES,2024-12-22,2025-12-22,EUR,0.042584952360805714,0.01638891533659234,0.3149070647848435,8276.895540189002,23984.34433061106,0.3450957602216065,0,,5,42.315203596788535,A
56,22,Retail,IT,2023-02-12,2032-02-10,EUR,0.037724413329806666,0.013122405451484733,0.6301724864986121,47260.475288445225,107122.13111536049,0.4411831131099336,0,,19,436.4627190445042,A
57,274,Retail,NL,2020-10-09,2029-10-07,EUR,0.03880264467441838,0.015376744694519948,0.5480870684890765,39326.34115649212,78364.83963764519,0.5018365549950081,0,,6,307.49153734756914,A
58,78,Retail,DE,2022-05-09,2030-05-07,EUR,0.03597925019212521,0.04862094050820883,0.45050805558738305,49679.48920972911,131215.89333032578,0.37860877938516846,0,,23,1176.6482720231097,BBB
59,372,SME,FR,2023-12-24,2026-12-23,EUR,0.04713374113241343,0.10555287221278327,0.32274783430780835,48787.18948593013,0.0,,0,,12,1700.0721545080175,BB/B
60,342,Retail,FR,2022-01-14,2028-01-13,EUR,0.03477791755845784,0.03754096157033867,0.43729530754499846,102571.93503526754,157301.22381378117,0.6520733440490958,0,,25,1915.0399000207058,BBB
61,462,Retail,FR,2024-04-12,2029-04-11,EUR,0.03690972796607396,0.028298831811149193,0.5944245288887573,20968.792438874993,38297.01925553221,0.547530665479819,0,,4,391.6540580449267,BBB
62,373,Retail,FR,2024-11-23,2030-11-22,EUR,0.034826395046576274,0.04324892274505572,0.24077159857108593,37427.384056056326,60375.68598610428,0.6199082204162516,0,,3,356.0835834841745,BBB
63,184,Corporate,FR,2021-11-04,2027-11-03,EUR,0.03675007085346846,0.05099386112092611,0.6973839093676109,10545.45999900572,22299.547128097478,0.4729001866463206,0,,28,322.43616091423416,BB/B
64,484,SME,DE,2022-06-06,2028-06-04,USD,0.04010543981226271,0.025017579564423076,0.6298812719294677,8393.43380886789,0.0,,0,,10,148.541451102497,BBB
65,206,SME,ES,2021-03-23,2026-03-22,EUR,0.05692345234962877,0.06596800165852953,0.35898289142411466,128647.16547210277,197139.8013248846,0.6525682008783878,0,,2,2477.195928500555,BB/B
66,163,SME,IT,2023-04-13,2030-04-11,EUR,0.030828319941396662,0.03715545578423112,0.6352883569411083,9777.911700212071,15154.043175896084,0.6452345150873497,0,,25,247.33102480519415,BBB
67,453,SME,NL,2020-09-25,2025-09-24,EUR,0.04687544391480095,0.026250747899822263,0.5408572649516481,41827.616281492905,102225.65212606538,0.4091694737237851,0,,12,588.1431643257849,BBB
68,186,Retail,ES,2022-11-25,2023-11-25,EUR,0.04148050294811635,0.03667127901661096,0.5331772135496644,37460.517832241334,69739.42894198281,0.5371497644955661,0,,27,608.0119943456099,BBB
69,39,Retail,DE,2021-04-26,2022-04-26,EUR,0.04156356289637401,0.04208328198630954,0.269854884472115,71323.48209573053,140888.06172017314,0.5062421984155812,0,,13,871.0685725909569,BBB
70,235,SME,DE,2024-07-02,2033-06-30,EUR,0.053931632654619144,0.018470796579835778,0.6529473203525693,4195.632370494084,6739.403954655509,0.6225524391657493,0,,22,50.25460733681127,A
71,398,Retail,IT,2024-07-08,2033-07-06,EUR,0.04372166794374838,0.008282201309261803,0.42517089846068756,53702.078877282,98320.42660223399,0.5461945267440673,0,,17,216.342489364718,AA
72,95,Corporate,IT,2021-02-03,2027-02-02,GBP,0.029391616015828938,0.05232498917768992,0.6016138791699082,20784.608038047143,0.0,,0,,14,578.0323842944041,BB/B
73,232,Retail,FR,2020-11-01,2022-11-01,USD,0.0416370554759877,0.051088557202201325,0.3497618951797047,12089.47939076803,16124.521943357173,0.7497573840164942,0,,14,173.0185931873309,BB/B
74,65,SME,ES,2020-04-18,2028-04-16,EUR,0.05137072871517023,0.050551418808210465,0.354001832801249,17140.210756241297,41353.34120141669,0.41448188364654087,0,,7,261.3929440793212,BB/B
75,344,Corporate,IT,2023-05-20,2025-05-19,USD,0.03417360295773002,0.029032691207388266,0.682344589990956,62116.73939300873,87748.5278940688,0.7078949457476584,0,,22,1117.1485657529645,BBB
76,238,SME,ES,2024-11-22,2028-11-21,USD,0.06330378178803876,0.010552905473115732,0.4483299623317165,45763.42715290929,75964.67255596162,0.6024303878779482,0,,15,229.70046801461507,A
77,166,Corporate,DE,2020-02-09,2023-02-08,EUR,0.02508497392839666,0.017233740445760114,0.22994535669150112,19381.543805420286,0.0,,0,,0,72.58563761855753,A
78,114,SME,NL,2021-12-31,2022-12-31,EUR,0.05293648090616801,0.007559129477876948,0.6178533235160251,7050.773005252482,9745.367573464438,0.7234999554507271,0,,11,27.901688001083393,AA
79,283,Corporate,FR,2023-10-09,2031-10-07,EUR,0.03435458918252354,0.006180911986843907,0.31361501117486934,7566.269338470403,8960.467156103123,0.8444056773665971,0,,12,17.491888655218286,AA
80,335,Retail,IT,2021-03-09,2026-03-08,EUR,0.042199619833438326,0.05011509013033301,0.6393768764045125,46771.539188831775,93915.09218368748,0.49801941414647016,0,,26,1263.8180613615139,BB/B
81,471,Retail,IT,2020-06-27,2023-06-27,EUR,0.04598313934493505,0.012001209675651991,0.6582199389869122,6138.020495834668,9882.001617980033,0.6211312984068639,0,,12,45.67699100512335,A
82,219,SME,NL,2023-08-01,2028-07-30,EUR,0.05579076855798351,0.06176516616974929,0.23638300661900158,19571.80935686168,42276.08838771286,0.4629522291033443,0,,17,328.7993522286929,BB/B
83,81,Retail,FR,2021-02-27,2022-02-27,EUR,0.04141720717872319,0.015366012841891293,0.4912146137871924,321602.67285860126,448551.0175085502,0.7169812581073254,0,,2,2575.647310009311,A
84,417,Retail,FR,2021-01-25,2025-01-24,EUR,0.03482944430235145,0.03955321373888786,0.6907620527884231,34876.23178047189,57123.224158292796,0.6105438251144089,0,,11,884.1988532697922,BBB
85,315,Corporate,FR,2022-07-01,2027-06-30,EUR,0.03597207024539277,0.012327224448302471,0.6654598073229325,46270.005649287865,62072.08371175564,0.7454237538432262,0,,8,450.9764173958333,A
86,351,SME,FR,2021-11-04,2025-11-03,EUR,0.04525891440553077,0.1301229130242547,0.4626216430287833,7623.300780130136,8880.966710729901,0.8583863703621066,0,,14,459.1066418538085,BB/B
87,49,Retail,DE,2023-08-29,2031-08-27,EUR,0.04300947824303221,0.016151775614294712,0.5402465976346178,6455.568326747204,15629.697824486573,0.41303219033662064,0,,26,45.24746605206667,A
88,157,Retail,DE,2020-05-12,2023-05-12,EUR,0.03660605913078911,0.07411269816871162,0.5021310175795373,48816.421287881225,135233.09533944458,0.36097984125371513,0,,28,1457.8132485975618,BB/B
89,384,Retail,FR,2020-02-03,2022-02-02,EUR,0.04505830206853323,0.03711179332554941,0.3016266731198515,16608.136603679057,27892.27568520854,0.5954385648241123,0,,8,218.70513838308892,BBB
90,417,Retail,IT,2020-02-07,2025-02-05,USD,0.03877139613168901,0.038290088550017524,0.5264987872607856,71226.58991626665,0.0,,0,,18,1310.2240437395033,BBB
91,218,Corporate,FR,2021-04-27,2029-04-25,USD,0.03581266590696415,0.09527101265213771,0.3665705917504066,25415.976151547206,31516.02006935383,0.8064462484671944,0,,28,998.4137133469545,BB/B
92,403,Retail,FR,2024-10-16,2028-10-15,USD,0.03373347368827419,0.01892538487789433,0.36898596459791244,771708.9773189111,1127621.8771567352,0.6843685750978442,0,,6,4405.097334634462,A
93,421,Retail,ES,2023-03-05,2024-03-04,USD,0.04126602255147675,0.0183625318618372,0.40999408047026087,13734.69214932028,21231.51773305163,0.6469010987348843,0,,13,88.79823766433347,A
94,194,SME,FR,2022-10-12,2031-10-10,GBP,0.047903598764458696,0.0339909339531064,0.6260884416688595,32504.425529612156,45444.4801845454,0.7152557449796982,0,,15,790.4565315371988,BBB
95,450,Retail,NL,2020-03-17,2024-03-16,EUR,0.041366606282684376,0.07274961407937826,0.3191729128809538,9955.24012659722,32994.18486614855,0.30172711242856376,0,,0,276.84296634143175,BB/B
96,145,Retail,ES,2022-04-09,2024-04-08,EUR,0.05119415833207212,0.03808270822499025,0.3253958333727167,68328.34799719726,99470.58366752871,0.6869201474234682,0,,13,694.9631388155915,BBB
97,120,SME,DE,2022-04-29,2028-04-27,EUR,0.05164252331393332,0.26925438259693085,0.2036699568032761,37816.93865775764,0.0,,1,2022-12-03,310,1798.136524987708,BB/B
98,342,SME,FR,2024-04-09,2027-04-09,EUR,0.03886545211211408,0.15395468078856425,0.2775034344594681,9309.681382940711,0.0,,0,,3,433.20120665453345,BB/B
99,319,Corporate,DE,2021-01-14,2030-01-12,EUR,0.030986082361983663,0.017424001685011563,0.6893396437024681,17724.71205060762,39057.243156778815,0.45381370055892695,0,,9,215.4048764785716,A
100,70,SME,FR,2023-04-29,2026-04-28,EUR,0.052972791172440276,0.013260487078503797,0.4169349727532379,95974.20855804923,214011.4423956457,0.44845363165498636,0,,3,510.6599837749195,A
101,417,Retail,FR,2024-07-18,2029-07-17,GBP,0.035809904097871575,0.03342337145016233,0.29758234615708923,85110.7905820741,0.0,,0,,22,743.072511555114,BBB
102,100,SME,DE,2020-01-26,2025-01-24,EUR,0.05211428808570227,0.07723492156834887,0.6828409053784712,5917.115489474236,0.0,,0,,25,367.66540936864413,BB/B
103,403,Corporate,DE,2024-01-21,2027-01-20,GBP,0.028437061558852703,0.019280397497454495,0.21355893401847126,15275.879441098132,0.0,,0,,8,54.652930814255924,A
104,4,SME,IT,2024-12-03,2029-12-02,EUR,0.04110333013816109,0.050731755807314455,0.44208319332003154,150451.60594779506,0.0,,0,,1,3057.4317625480485,BB/B
105,399,Corporate,ES,2024-08-12,2025-08-12,EUR,0.0380533553901264,0.03061829538747673,0.602301067813758,20595.382914760467,48980.237787223676,0.4204835224408139,0,,14,353.1151375983812,BBB
106,394,SME,FR,2022-09-29,2028-09-27,EUR,0.06172102177676707,0.1070288415536961,0.586412602306819,29243.789769618354,39647.6490581328,0.7375920253617071,0,,3,1570.0877106309135,BB/B
107,391,Corporate,NL,2024-06-28,2031-06-27,EUR,0.03152950547909181,0.009037270179286997,0.2946086327479097,67977.49113630682,77681.39374738085,0.8750807350003139,0,,13,183.61029005895162,AA
108,333,Retail,FR,2020-10-17,2029-10-15,EUR,0.039434798145643074,0.04865689135395701,0.5538948366888823,6424.270058269999,8090.096168278263,0.7940906912157528,0,,16,162.1500819535169,BBB
109,236,SME,NL,2022-06-11,2025-06-10,EUR,0.043462416831476156,0.07544882035635461,0.5111443043229249,9511.934026899036,0.0,,0,,14,382.65464719808637,BB/B
110,353,Retail,FR,2023-05-21,2026-05-20,USD,0.044837752079955676,0.04815923559106246,0.5376381080746333,17611.386230869695,25812.033403352907,0.6822936401663741,0,,15,431.89565245831864,BBB
111,139,SME,IT,2024-12-27,2029-12-26,EUR,0.04166599364720683,0.004515954287399167,0.33305240781386836,81196.1912982117,114186.10813944007,0.711086423919955,0,,17,103.38566972171296,AAA
112,391,SME,ES,2022-08-10,2029-08-08,EUR,0.05618388521863413,0.14021595891853897,0.6053671940158929,67492.06728510774,0.0,,0,,4,6582.696167725859,BB/B
113,278,Corporate,DE,2024-03-31,2033-03-29,EUR,0.03461666200142857,0.007069987847361162,0.4796187546543673,49999.404142391235,0.0,,0,,20,170.19749410265618,AA
114,230,Corporate,NL,2020-02-13,2021-02-12,EUR,0.0281676491783467,0.012840339492400522,0.5625390237526673,21180.58102141111,33437.85124756218,0.6334312831466795,0,,20,142.08926680912566,A
115,253,Retail,FR,2023-07-20,2026-07-19,EUR,0.03321700074530443,0.044179731318028506,0.6697867549431822,75325.17879774793,0.0,,0,,4,1797.748292810653,BBB
116,285,SME,IT,2022-08-19,2025-08-18,EUR,0.042696548714678796,0.07427078836463831,0.6277486364452642,20896.872156339785,0.0,,0,,13,1012.41499822261,BB/B
117,19,SME,ES,2024-11-29,2027-11-29,EUR,0.04701588888390339,0.05919148277319126,0.59116873526347,43389.29420577705,101121.85930889176,0.4290792762545831,0,,8,1689.853684632795,BB/B
118,70,Retail,ES,2024-05-08,2029-05-07,EUR,0.03517630778494329,0.013403290588829879,0.3448243747156313,60599.3214860328,94972.10112445563,0.6380749795839599,0,,11,296.8882811635996,A
119,123,Retail,DE,2023-12-20,2031-12-18,EUR,0.03678087993013748,0.023847229924132952,0.22704155632905876,132829.29246749403,0.0,,0,,23,801.9479635730083,BBB
120,58,Retail,NL,2024-09-29,2025-09-29,EUR,0.04317355321045002,0.026745645286289563,0.48732223149470816,23009.7982581498,49093.14774102323,0.46869673909547144,0,,17,258.5154642116283,BBB
121,220,SME,ES,2021-05-18,2029-05-16,EUR,0.055773199225835776,0.03484175439779552,0.21725652660969563,16939.268391556172,0.0,,0,,27,152.4168167613483,BBB
122,335,Retail,NL,2020-04-12,2026-04-11,EUR,0.04098197302505094,0.057954993897226845,0.5570948871093561,88882.92761986052,156825.12982784133,0.5667645722176922,0,,17,2538.356302834968,BB/B
123,328,Corporate,IT,2020-01-30,2026-01-28,EUR,0.036386722994974835,0.010855160346686597,0.5684108356481353,95975.91741151162,344533.597763421,0.27856765794265115,0,,1,536.9454297834211,A
124,236,Retail,ES,2023-09-04,2030-09-02,EUR,0.037691788985395276,0.024208575675207244,0.4814556306193302,14138.05684729855,35152.63838386955,0.4021904897410507,0,,21,165.59675875317797,BBB
125,428,Corporate,IT,2021-01-23,2023-01-23,EUR,0.040759772556402646,0.004802633061653662,0.28407595627067145,8062.397663592621,11466.71321063755,0.7031132213294755,0,,2,8.822563994280996,AAA
126,283,Retail,NL,2022-06-27,2029-06-25,EUR,0.04297476229088401,0.0068513939310415614,0.6378607172841881,82374.76888583662,239520.66146902007,0.3439150859914066,0,,10,351.70975099697597,AA
127,40,SME,NL,2024-10-10,2027-10-10,EUR,0.05709727783871929,0.09684522161876265,0.49796061600238595,4713.908280163202,7884.1748086021125,0.5978949471059473,0,,28,199.6605730968409,BB/B
128,383,Retail,NL,2024-07-20,2029-07-19,EUR,0.04080831193189777,0.042801709141985195,0.45744597503705486,4479.194774674327,6720.349048017172,0.6665122217120413,0,,29,96.43583906906994,BBB
129,288,SME,IT,2022-04-08,2029-04-06,EUR,0.05499133295643173,0.14670625801753248,0.4837958797710273,18614.663050784035,32626.121193550898,0.5705447773075623,1,2024-03-27,279,1457.4088489697947,BB/B
130,318,Corporate,ES,2022-11-20,2028-11-18,USD,0.037175228991671624,0.03495129181025017,0.24144354340681545,24402.471953735658,53681.1444691926,0.4545818125718266,0,,4,215.4598531669818,BBB
131,283,Corporate,FR,2024-12-17,2027-12-17,EUR,0.031771024778162335,0.006484975920237586,0.5702185273694631,7631.562092942129,9428.101837933698,0.8094484153996679,0,,29,27.336367771644134,AA
132,277,Corporate,IT,2020-05-10,2024-05-09,USD,0.03802969527220153,0.008291988556708573,0.23038779194452202,27497.88408627507,0.0,,0,,29,48.543758562340365,AA
133,46,Retail,ES,2021-05-10,2026-05-09,EUR,0.04046088553763416,0.0069797151881215375,0.4891940792579541,28752.21505464124,58431.819379852146,0.4920643471278815,0,,26,111.03169400884082,AA
134,280,Retail,DE,2022-06-30,2023-06-30,EUR,0.03924415809654726,0.07238845469658794,0.2846285435352272,13624.325394095718,0.0,,0,,24,281.5096627757542,BB/B
135,398,Retail,ES,2020-01-27,2027-01-25,EUR,0.03984322649661749,0.010753015895467845,0.303850969483167,168293.4025991553,309267.074333335,0.5441685086003203,0,,2,549.0903219506591,A
136,152,Retail,DE,2020-02-25,2021-02-24,EUR,0.0327827660153158,0.04166323687923358,0.3166271253539197,33852.26571274714,48024.572066062945,0.7048946873733662,0,,3,377.51770125016947,BBB
137,302,SME,IT,2020-02-20,2025-02-18,USD,0.03511031719468897,0.08134284271477173,0.20715281924422935,68083.42269056414,102723.04391702038,0.6627862658116118,0,,18,1018.0007632719064,BB/B
138,16,SME,IT,2023-09-17,2029-09-15,EUR,0.05960671203900503,0.10579469980479694,0.6459194155568386,5134.752955793597,0.0,,0,,3,331.30182576832505,BB/B
139,174,SME,IT,2020-08-08,2021-08-08,EUR,0.05632660090581004,0.10567572366378074,0.6021176357449286,5090.6366868618,6373.417171856454,0.7987295589783268,0,,7,349.6776521566558,BB/B
140,219,Corporate,IT,2022-06-26,2031-06-24,EUR,0.0328654630033626,0.031046031819240264,0.2156432238332161,34893.73609799274,76243.31188916562,0.45766291145271243,0,,29,265.87225169707074,BBB
141,492,SME,IT,2021-05-17,2025-05-16,EUR,0.04997900249570622,0.06161310986600382,0.22849304399973341,140766.48890189512,348650.3066901792,0.40374692406906243,0,,27,2372.421357230979,BB/B
142,108,Corporate,IT,2020-09-16,2021-09-16,EUR,0.0343668033062011,0.06764271464015674,0.5914384237383472,8022.972122321429,10460.372302683525,0.7669872438730694,0,,7,311.6541609159525,BB/B
143,139,Retail,IT,2024-03-09,2030-03-08,GBP,0.044447067282622627,0.018227435953646245,0.20340164378485054,25422.163378736594,0.0,,0,,16,92.48818601341108,A
144,205,Retail,IT,2022-10-06,2028-10-04,EUR,0.03950394132386975,0.02907731423601708,0.4344994568540741,6405.445425418562,9391.246980816419,0.682065484860852,0,,16,89.53947337636855,BBB
145,497,SME,ES,2024-05-11,2030-05-10,USD,0.05766607856918818,0.03708277842466703,0.253648627147154,10736.209800387127,13491.827266236895,0.7957565412399208,0,,7,93.7634054426504,BBB
146,427,Corporate,IT,2023-08-10,2030-08-08,EUR,0.04295743823432645,0.05074325888213368,0.49581611350927907,26718.495470091388,0.0,,0,,7,683.1141084278029,BB/B
